country,ico_start,ico_end,price_usd,goal,distributed_in_ico,sold_tokens,token_for_sale,whitelist,kyc,bonus,mvp,pre_ico_start,pre_ico_end,pre_ico_price_usd,link_white_paper,linkedin_link,github_link,website,rating,teamsize,ERC20
Japan,27/03/2018,09/05/2018,0.5,1,0.6,,240000000.0,no,yes,0.0,,14/02/2018,14/03/2018,0.28,https://patron-ico.io/doc/patron-wp-en-01.pdf,https://www.linkedin.com/company/patron-ico/,https://www.github.com/patron-ico?tab=repositories,https://patron-ico.io/?utm_source=icobench,3.2,20.0,true
India,01/10/2018,30/10/2019,0.55,0,0.43,,1505000.0,,No,0.0,,,,,https://parinitabansodecoin.com/pbc-whitepaper.pdf,https://www.linkedin.com/company/capz-rewards/,https://www.github.com/parinitacoin?tab=repositories,https://parinitabansodecoin.com?utm_source=icobench,2.9,4.0,TRUE
Cayman Islands,09/04/2018,26/05/2018,1.0,0,,,,Y,True,no,,,,,https://pentacore.io/pdfs/PentaCore_whitepaper_20170115.pdf,https://www.linkedin.com/company/pentacore/,https://www.github.com/pentafund?tab=repositories,https://PentaCore.io?utm_source=icobench,3.9,16.0,T
UK,15/07/2017,17/07/2017,0.097,1,,227348800.0,,,False,no,,,,,https://pillarproject.io/wp-content/uploads/2017/07/PillarProjectGrayPaper.pdf,https://www.linkedin.com/company/18298093/,https://www.github.com/twentythirty?tab=repositories,https://pillarproject.io/?utm_source=icobench,2.9,1.0,true
Gibraltar,01/08/2018,31/10/2018,0.0008,0,0.4,,40000000000.0,y,true,No,available,,,,https://pixietoken.co/files/white-paper-40697b.pdf,https://www.linkedin.com/company/pixieapp/,,https://pixietoken.co/?utm_source=icobench,2.9,,True
Cayman Islands,31/10/2018,14/11/2018,0.0012,1,275.0,,27500000000.0,y,True,N,,,,,http://plair.life/wp-content/uploads/Plair-Life-Whitepaper-v1a.pdf,https://www.linkedin.com/company/plair/,,https://plair.life/?utm_source=icobench,2.9,19.0,F
Singapore,02/09/2018,10/09/2018,,1,0.25,,500000000.0,no,no,0,,,,,https://plasmium.io/plasmium%20whitepaper%20v1.0.pdf,,https://www.github.com/plasmium?tab=repositories,https://plasmium.io/?utm_source=icobench,2.9,8.0,1
Cyprus,19/07/2018,05/08/2018,0.1017,0,0.55,,100000000.0,yes,true,0.0,,01/07/2018,15/07/2018,,https://www.playrs.io/whitepaper-playrs.io.pdf,,,https://www.playrs.io?utm_source=icobench,2.7,17.0,true
Singapore,08/08/2017,05/09/2017,0.0032,1,0.5,3141592653.0,3141592653.0,,No,0.0,,,,,https://po.et/whitepaper.pdf,https://www.linkedin.com/company/poetchain/,https://www.github.com/poetapp?tab=repositories,https://po.et/?utm_source=icobench,3.0,,1.0
USA,01/03/2018,31/03/2018,0.26,0,0.7,,,n,N,No,,,,,https://podone.io/whitepaper,,https://www.github.com/podonenetwork?tab=repositories,https://podone.io?utm_source=icobench,3.0,8.0,TRUE
Indonesia,08/10/2018,15/12/2018,0.2293,0,0.22,,20000000.0,No,0.0,0.0,,,,,https://poins.io/whitepaper/wp_poins_en.pdf,,,http://poins.io?utm_source=icobench,2.9,2.0,false
Switzerland,01/05/2018,29/05/2018,0.006,1,0.5,,56000000.0,n,1.0,N,,01/04/2018,29/04/2018,,https://docs.wixstatic.com/ugd/573622_ac4eb3fd2151402b9f2c932c9ae936c7.pdf,https://www.linkedin.com/company/poiuntium/about/,https://www.github.com/pointium?tab=repositories,https://www.pointium.org?utm_source=icobench,2.9,,true
Switzerland,02/04/2018,30/06/2018,0.05,1,0.6,,300000000.0,n,yes,No,,,,,https://prokarex.com/whitepaper-5/,,,https://prokarex.com/?utm_source=icobench,2.9,,1.0
British Virgin Islands,30/01/2018,31/03/2018,0.01,1,0.5,,2.26e+16,no,no,N,,,,,https://prover.io/assets/White_Paper_en.pdf?0125,,https://www.github.com/isvirin?tab=repositories,https://prover.io?utm_source=icobench,2.9,,T
Spain,04/10/2017,24/10/2017,1.7877,1,0.87,,3250000.0,,false,No,,25/09/2017,03/10/2017,,https://pylon-network.org/wp-content/uploads/2017/07/170730_WP-PYLON_EN.pdf,https://www.linkedin.com/company/pylonnetwork/,https://www.github.com/klenergy?tab=repositories,https://pylon-network.org/?utm_source=icobench,2.8,19.0,1
Australia,01/10/2018,01/11/2018,230.77,1,0.7,,70000000.0,no,Yes,0.0,,,,,https://quixxiconnect.com/wp-content/uploads/2018/08/Quixxi-TDE-Whitepaper.pdf,https://www.linkedin.com/company/quixxi-connect/,https://www.github.com/quixxi?tab=repositories,https://quixxiconnect.com?utm_source=icobench,3.0,20.0,1.0
Singapore,10/10/2017,20/10/2017,0.3031,1,0.8,,18000000.0,,0,No,,15/08/2017,29/08/2017,,https://s3.eu-central-1.amazonaws.com/qvolta/white.pdf,https://www.linkedin.com/company/qvolta/,https://www.github.com/mxnr?tab=repositories,https://qvolta.com/?utm_source=icobench,2.9,,1
USA,01/03/2018,02/08/2018,0.1,0,0.33,,33000000.0,y,yes,no,,,,,http://rao.radioyo.fm/RadioYo%20ICO%20(RAO)%20White%20Paper.pdf,https://www.linkedin.com/company/radioyo/,https://www.github.com/RadioYoFM?tab=repositories,https://rao.radioyo.fm/?utm_source=icobench,2.6,,1.0
Netherlands,07/02/2018,07/03/2018,0.1981,0,0.5,,50000000.0,n,0,0,,,,,http://ravelous.com/whitepaper.pdf,https://www.linkedin.com/company/ravelous/,https://www.github.com/Ravelous-Marketplace?tab=repositories,http://ravelous.com?utm_source=icobench,2.9,6.0,true
Estonia,01/03/2018,15/04/2018,,0,0.8,,12750000.0,y,0,0.0,,14/02/2018,01/03/2018,1.0,http://ico.red-lanterns.com/storage/documents/RL_WP_8.2_en.pdf,https://www.linkedin.com/in/red-lanterns-7065b4152/,,http://ico.red-lanterns.com/?utm_source=icobench,3.0,12.0,1
Malta,17/11/2017,17/12/2017,14.0,0,0.42,,21000000.0,,False,0,,02/10/2017,17/10/2017,,https://reftoken.io/app/uploads/2017/08/RefToken-Whitepaper-4.6.pdf,,,https://reftoken.io/?utm_source=icobench,2.8,8.0,T
USA,01/04/2018,31/08/2018,0.3796,0,0.5,,100000000.0,,No,0.0,,01/03/2018,31/03/2018,,https://refugecoin.com/wp-content/uploads/2018/03/WhitePaper-RFG-EN.pdf,https://www.linkedin.com/company/refugecoin/,https://www.github.com/refuge-coin?tab=repositories,https://refugecoin.com/?utm_source=icobench,2.9,7.0,T
Singapore,17/06/2018,31/07/2018,0.2864,0,0.72,,39600000.0,no,1.0,0,,15/05/2018,17/06/2018,0.373089985,https://regotoken.io/wp-content/uploads/2018/04/REGO_WP.pdf,,,https://regotoken.io/?utm_source=icobench,2.9,12.0,TRUE
Liechtenstein,01/03/2018,31/12/2019,0.4235,1,,64098089.0,,n,1.0,no,,,,,https://www.remecoin.io/whitepaper_en.pdf,,,https://www.remecoin.io/?utm_source=icobench,3.2,,1
Netherlands,05/05/2018,04/08/2018,0.0083,0,0.8,,2400000000.0,n,0,0,,,,,https://rumereochain.com/whitepaper_en.pdf,,https://www.github.com/REOTokenICO?tab=repositories,https://rumereochain.com/?utm_source=icobench,2.9,1.0,TRUE
Germany,13/10/2017,17/10/2017,0.0632,1,,,500000000.0,,0.0,No,,,,,https://request.network/assets/pdf/request_whitepaper.pdf,https://www.linkedin.com/company/request-network/,https://www.github.com/RequestNetwork?tab=repositories,https://request.network/#/token-sale?utm_source=icobench,3.6,7.0,1.0
Belarus,20/03/2018,20/04/2018,0.0014,0,0.7,,2100000000.0,,No,0,,05/12/2017,11/12/2017,,https://rexpax.com/static/whitepaper/REXPAX_WP_ENG_1.0.pdf,https://www.linkedin.com/company/rexpax/,,https://rexpax.com/?utm_source=icobench,3.0,3.0,True
Bahamas,01/06/2018,01/07/2018,0.01,0,0.3,,100000000.0,NO,True,0.0,,10/04/2018,25/05/2018,0.00833,https://risehousing.io/wp-content/uploads/2018/03/RiseHousingWhitepaper.pdf,https://www.linkedin.com/company/rise-housing/,,https://www.risehousing.io?utm_source=icobench,2.9,16.0,T
South Korea,03/02/2020,01/05/2020,0.9,0,0.2,,20000000.0,Yes,Yes,N,,,,0.6,https://rivermount.io/doc/RMWhitepaper_en.pdf,,,http://rivermount.io/?utm_source=icobench,2.9,11.0,true
Malta,20/04/2018,21/05/2018,8.7,1,0.6,,3200000.0,N,yes,0,,01/02/2018,19/04/2018,13.82386719,http://www.robet.io/wp-content/uploads/2018/02/whitepaper_robet.pdf,https://www.linkedin.com/company/bookiedom/,,http://www.robet.io/?utm_source=icobench,2.7,11.0,T
Austria,13/12/2017,14/01/2018,6.6017,1,579.0,,57900000.0,,0,0,,16/11/2017,12/12/2017,1.95429309,https://www.rotharium.io/pdf/Rotharium_Whitepaper.pdf,,,https://www.rotharium.io/en/?utm_source=icobench,2.9,5.0,True
USA,16/03/2018,13/04/2018,0.049,0,0.21,,210000000.0,No,No,0,,02/03/2018,16/03/2018,,https://iamsamy.com/static/samy-assets/pdf/SAMY-WhitePaper.pdf,https://www.linkedin.com/company/samyagency/,https://www.github.com/samyagency?tab=repositories,https://iamsamy.com/?utm_source=icobench,2.9,3.0,true
Czech Republic,07/02/2019,06/03/2019,0.13,1,0.75,262152000.0,750000000.0,NO,1.0,0.0,AVAILABLE,17/11/2018,06/02/2019,,https://saturn.black/wp-content/uploads/2018/11/saturn-white-paper-eng-1.0.1.pdf,,,https://saturn.black?utm_source=icobench,2.9,1.0,1
Netherlands,05/09/2018,03/11/2018,0.9,0,0.6,,17000000.0,Y,Y,0,,16/04/2018,31/05/2018,,https://set4earth.io/pdf/set-whitepaper.pdf,,,https://www.set4earth.io?utm_source=icobench,3.4,15.0,1
Romania,10/06/2018,22/07/2018,0.0763,1,,,339000000.0,n,Yes,0.0,,,,,https://saveinvest.io/wp-content/uploads/2018/02/SAVE_Whitepaper_Version_2.0.pdf,,https://www.github.com/SaveToken?tab=repositories,https://www.saveinvest.io?utm_source=icobench,2.9,,T
Russia,18/01/2018,18/02/2018,0.06,1,0.7,,100000000.0,NO,1,0.0,,18/01/2018,18/02/2018,0.03,https://sikico.io/img/sik_whitepaper_eng.pdf,,,https://sikico.io?utm_source=icobench,2.9,,true
Singapore,01/04/2018,10/09/2018,0.0396,1,0.6,,1000000000.0,,False,N,,01/04/2018,01/05/2018,,https://drive.google.com/file/d/16wMm1tN7WW-Eh42eGWg8Fy5tm-Ak0OI3/view,https://www.linkedin.com/company/scanetchain/,https://www.github.com/Scanetchain?tab=repositories,https://www.scanetchain.io/?utm_source=icobench,2.9,,1.0
Belize,01/10/2019,19/06/2020,0.2,0,0.3,,600000000.0,n,1.0,No,,03/09/2019,30/09/2019,,,https://www.linkedin.com/company/sdat-exchange/,,https://sdatico.sdatokens.com?utm_source=icobench,2.9,7.0,false
Germany,05/12/2018,05/03/2019,0.2768,0,0.8,,8000000.0,no,False,0.0,,,,,https://shamrock-lottery.com/wp-content/uploads/2018/11/Shamrock-Whitepaper-2018.pdf,,https://www.github.com/KaranDevi?tab=repositories,https://shamrock-lottery.com?utm_source=icobench,2.9,,TRUE
Ukraine,27/08/2018,01/10/2018,1.75,0,,,30000000.0,,0,no,,20/01/2018,10/02/2018,,https://showmebiz.io/doc/WHITE_PAPER_ICO_en_10.pdf?v=2.1,,,https://showmebiz.io/?utm_source=icobench,2.9,13.0,True
India,20/11/2017,20/12/2017,0.225,0,,,50000000.0,,0.0,0,,20/10/2017,19/11/2017,0.113540994,https://sisa.fund/SISA%20White%20Paper.pdf,,https://www.github.com/SISAteam?tab=repositories,https://sisa.fund/?utm_source=icobench,3.0,3.0,1
British Virgin Islands,25/02/2018,15/03/2018,0.45,1,0.6,,66000000.0,NO,no,no,,,,,http://ico.skraps.io/SKRAPS_White_Paper.pdf,,https://www.github.com/SkrapsIO?tab=repositories,http://skraps.io/?utm_source=icobench,2.9,11.0,T
Switzerland,01/11/2018,31/12/2018,0.0113,1,,,,no,0.0,0,yes,01/08/2018,31/10/2018,,https://www.smartcitycoin.com/whitepaper/,https://www.linkedin.com/company/smart-city-ag/,https://www.github.com/search?q=smart+city+coin?tab=repositories,https://www.smartcitycointest.net/?utm_source=icobench,2.9,7.0,true
Switzerland,14/05/2018,13/07/2018,0.1,0,,,408000000.0,,no,N,,15/12/2017,29/03/2018,,https://smartvalley.io/assets/files/WP_en_new.pdf,https://www.linkedin.com/company/smart-valley/,,https://www.smartvalley.io/?utm_source=icobench,3.4,4.0,1
Canada,16/10/2017,13/11/2017,1.1,1,0.75,,24750000.0,,False,0.0,,30/09/2017,10/10/2017,1.00488332,https://smokeexchange.com/content/whitepaper.pdf,,https://www.github.com/smokeexchange?tab=repositories,https://smokeexchange.com?utm_source=icobench,2.9,8.0,T
Israel,27/09/2017,27/10/2017,0.0039,1,0.3,,3000000000.0,,False,No,,,,,https://media.snip.today/Snip_Whitepaper_en.pdf,https://www.linkedin.com/company/snip-llc/,https://www.github.com/sniptoday?tab=repositories,https://www.snip.network/?utm_source=icobench,3.0,6.0,1
